China,2021,18.2,12887,8.57,1.41,78.1,0.98,4.55,3554.1,3093.3,36.5,344.07,0,73.1,5.26
China,2022,18.32,12971,3.13,1.41,78.2,1.97,4.98,3717.9,3140,37.4,190.2,0,75.6,5.88
China,2023,18.27,12951,5.41,1.41,78,0.23,4.67,3490.1,3106.5,36.1,51.34,0,90.6,5.94
China,2024,18.74,13303,4.98,1.41,78,0.22,4.59,3753.1,3219.3,37.2,18.56,0,92,0
India,2000,0.47,443,3.84,1.06,62.7,4.01,7.59,60.9,65.1,26.9,3.58,55,0.5,4.11
India,2001,0.49,450,4.82,1.08,63.2,3.78,7.61,61,65.2,26,5.13,59,0.7,4.34
India,2002,0.51,469,3.8,1.1,63.6,4.3,7.68,73.5,78.5,29.5,5.21,62.6,1.5,4.31
India,2003,0.61,544,7.86,1.12,64.1,3.81,7.63,90.8,95.1,30.6,3.68,62.2,1.7,4.08
India,2004,0.71,624,7.92,1.14,64.5,3.77,7.6,126.6,139.3,37.5,5.43,62.6,2,4.03
India,2005,0.82,710,7.92,1.15,64.9,4.25,7.55,160.8,183.7,42,7.27,62.2,2.4,3.86
India,2006,0.94,802,8.06,1.17,65.4,5.8,7.55,200,230,45.7,20.03,59.7,2.8,3.67
India,2007,1.22,1022,7.66,1.19,65.8,6.37,7.56,253.1,302.8,45.7,25.23,57.5,4,3.58
India,2008,1.2,993,3.09,1.21,66.2,8.35,7.63,288.9,350.9,53.4,43.41,57.3,4.4,3.59
India,2009,1.34,1095,7.86,1.23,66.7,10.88,7.64,273.8,347.2,46.3,35.58,55.3,5.1,3.55
India,2010,1.68,1348,8.5,1.24,67.2,11.99,7.63,375.4,450,49.3,27.4,51.6,7.5,3.34
India,2011,1.82,1445,5.24,1.26,67.6,8.91,7.61,447.4,566.7,55.6,36.5,51.6,10.1,3.25
India,2012,1.83,1429,5.46,1.28,68.1,9.48,7.64,448.4,571.3,55.8,24,50.7,11.1,3.33
India,2013,1.86,1433,6.39,1.3,68.5,10.02,7.68,472.2,527.6,53.8,28.15,50.3,12.3,3.75
India,2014,2.04,1554,7.41,1.31,68.9,6.67,7.66,468.3,529.2,48.9,34.58,49.9,13.5,3.62
India,2015,2.1,1584,8,1.33,69.3,4.91,7.63,416.8,465.1,41.9,44.01,50,14.9,3.6
India,2016,2.29,1708,8.26,1.34,69.7,4.95,7.61,439.6,480.2,40.1,44.46,47.6,16.5,3.5
India,2017,2.65,1950,6.8,1.36,70.1,3.33,7.63,498.3,582,40.7,39.97,47.6,18.2,2.94
India,2018,2.7,1966,6.45,1.37,70.4,3.94,7.65,538.6,640.3,43.6,42.12,46.5,20.1,2.86
India,2019,2.84,2041,3.87,1.39,70.7,3.73,6.51,529.2,602.3,39.9,50.61,0,29.5,2.95
India,2020,2.67,1907,-5.78,1.4,70.2,6.62,7.86,499.7,510.2,37.8,64.36,0,43.4,3.34
India,2021,3.17,2240,9.69,1.41,67.3,5.13,6.38,677.8,760.9,45.4,44.73,0,49.3,3.35
India,2022,3.35,2347,7.61,1.43,71.7,6.7,4.82,778,897.6,50.1,49.94,0,55.9,3.4
India,2023,3.64,2530,9.19,1.44,72,5.65,4.17,780.4,856.7,45,28.09,0,60.3,3.34
India,2024,3.91,2695,6.49,1.45,72.2,4.95,4.17,827.4,918.3,44.6,27.14,0,64.9,0
Russia,2000,0.26,1772,10,0.15,65.5,20.8,10.58,114.4,62.4,68.1,2.68,62.1,2,5.02
Russia,2001,0.31,2100,5.1,0.15,65.4,21.48,8.98,113.1,74.3,61.1,2.85,49,2.9,5.24
Russia,2002,0.35,2378,4.7,0.15,65.1,15.79,7.88,121.6,84.4,59.6,3.47,41.4,4.1,5.52
Russia,2003,0.43,2975,7.3,0.14,65,13.66,8.21,151.7,102.8,59.1,7.93,0,8.3,5.16
Russia,2004,0.59,4102,7.2,0.14,65.5,10.89,7.76,203.4,131,56.6,15.4,0,12.9,4.76
Russia,2005,0.76,5323,6.4,0.14,65.5,12.69,7.12,269,164.3,56.7,15.51,16.7,15.2,4.77
Russia,2006,0.99,6920,8.2,0.14,66.7,9.67,7.05,333.9,207.9,54.7,37.59,9.9,18,4.77
Russia,2007,1.3,9101,8.5,0.14,67.6,9.01,6,392,280,51.7,55.87,7.2,24.7,4.75
Russia,2008,1.66,11635,5.2,0.14,67.9,14.11,6.21,520,366.6,53.4,74.78,6.5,32,4.9
Russia,2009,1.22,8563,-7.8,0.14,68.7,11.65,8.3,341.6,250.6,48.4,36.58,8.7,42.5,5.64
Russia,2010,1.52,10675,4.5,0.14,68.8,6.85,7.41,445.5,322.4,50.4,43.17,9.1,49,4.97
Russia,2011,2.05,14305,4.3,0.14,69.7,8.44,6.57,574,408.8,48,55.08,8.6,58,4.79
Russia,2012,2.21,15402,4.02,0.14,70.1,5.07,5.48,594.2,447,47.2,50.59,8.6,66,4.94
Russia,2013,2.29,15941,1.76,0.14,70.6,6.75,5.51,592.5,468.6,46.3,69.22,9.1,68,5.08
Russia,2014,2.06,14055,0.74,0.14,70.7,7.82,5.21,558.3,426.1,47.8,22.03,11.2,70.5,5.18
Russia,2015,1.36,9278,-1.97,0.14,71.2,15.53,5.62,391.4,281.6,49.4,6.85,13.5,70.1,5.3
Russia,2016,1.28,8663,0.19,0.15,71.7,7.04,5.59,330.1,263.8,46.5,32.54,14.2,73.1,5.29
Russia,2017,1.57,10659,1.83,0.15,72.5,3.68,5.24,410.7,327.2,46.9,28.56,16.3,76,5.36
Russia,2018,1.66,11212,2.81,0.15,72.7,2.88,4.87,510.3,344.5,51.6,8.78,16.2,80.9,5.36
Russia,2019,1.69,11448,2.2,0.15,73.1,4.47,4.51,481.4,352.1,49.2,31.97,17.3,82.6,5.65
